TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
620.0;75.4773530463189;620.0;73.5369196638542;620.0;62.4764024353731;620.0;29.3704860776457;620.0;17.0312284121701;620.0;9.57486113205986;620.0;-1.80566593094097;620.0;0.984995231374366;;
625.0;75.158213062109;625.0;69.2954252198587;625.0;60.0970370131074;625.0;26.6932967446135;625.0;16.8294029918823;625.0;8.13309315171337;625.0;-1.95235153833892;;;;
630.0;71.1513342928805;630.0;67.2143292918427;630.0;58.3951735785728;630.0;24.89477741081;630.0;16.3941141723625;630.0;6.53047851948161;630.0;-1.01532459972089;;;;
635.0;69.8974002524756;635.0;64.5875376435746;635.0;56.0328071122459;635.0;24.0467668676692;635.0;15.3754960379702;635.0;4.71010187196547;;;;;;
640.0;65.839089782883;640.0;65.990247237879;640.0;56.2761119042239;640.0;23.4721028510979;640.0;14.0555129995462;640.0;4.74531456268894;;;;;;
645.0;65.5809696898759;645.0;64.2770150193935;645.0;55.0155221284094;645.0;22.7663351789244;645.0;13.3603483549155;645.0;4.94722090781878;;;;;;
650.0;62.8116481252856;650.0;61.9027249135945;650.0;51.567070068787;650.0;22.6080050273632;650.0;11.4779692207611;650.0;4.21035421078059;;;;;;
655.0;61.1271145681099;655.0;61.2179740915761;655.0;50.9432422489738;655.0;21.2896235487599;655.0;10.7376507694388;655.0;5.35130723102056;;;;;;
660.0;59.854711202778;660.0;59.4178819902118;660.0;50.0001675978319;660.0;22.557956051689;660.0;9.08277878559223;660.0;5.37693470348897;;;;;;
665.0;56.8663431343303;665.0;59.0440679407308;665.0;47.6571663552542;665.0;22.9889061695429;665.0;8.12460241038523;665.0;4.36216968916787;;;;;;
670.0;57.9717666557741;670.0;60.3704583894689;670.0;45.4539249936861;670.0;21.7949313566835;670.0;10.0737654331917;670.0;2.469471395693;;;;;;
675.0;52.471351744462;675.0;56.4805197603401;675.0;44.3006124485517;675.0;20.2082179002372;675.0;10.617466117467;675.0;2.48182892256107;;;;;;
680.0;49.0503654311198;680.0;52.717103308312;680.0;40.6054705647463;680.0;18.5490051135419;680.0;7.88378183382654;680.0;2.69701812667249;;;;;;
685.0;47.9124496923946;685.0;53.1855603454981;685.0;37.8419701787928;685.0;18.8196582999624;685.0;6.51548061660359;685.0;1.92380059812367;;;;;;
690.0;49.0998228415468;690.0;50.3759788491409;690.0;34.5777616939052;690.0;18.4412841511212;690.0;9.13559513833248;690.0;2.17329937194266;;;;;;
695.0;45.172073858909;695.0;49.1460586449556;695.0;35.377792801157;695.0;19.2346373454103;695.0;7.87495130915499;695.0;2.21300924927447;;;;;;
700.0;42.6060536049158;700.0;45.290648387192;700.0;33.5026256578753;700.0;20.2115214425792;700.0;7.26018364933169;700.0;1.23305753753242;;;;;;
705.0;42.6766230903344;705.0;45.0269918659002;705.0;33.3567573714604;705.0;18.6860224462171;705.0;7.03959527840223;705.0;-1.53331606980631;;;;;;
710.0;41.0340410331684;710.0;41.8573015972906;710.0;31.4704327020126;710.0;18.0131828801384;710.0;8.17212725162578;710.0;-2.72877583420884;;;;;;
715.0;40.8179875159203;715.0;39.9376806983379;715.0;29.3180828462709;715.0;15.096158630812;715.0;7.32847568926584;715.0;-1.68824706277189;;;;;;
720.0;38.1332106319289;720.0;40.494304745295;720.0;28.5078511829985;720.0;16.5402096683104;720.0;6.53990400896213;720.0;-1.42063742216637;;;;;;
725.0;35.6555488202276;725.0;38.5274307068161;725.0;26.780474924485;725.0;16.7744663683435;725.0;6.12135908282468;725.0;-0.503022668980182;;;;;;
730.0;35.6961519160649;730.0;36.4141029333229;730.0;24.264286785407;730.0;15.7139705057278;730.0;6.06337644574037;730.0;-1.05164814708076;;;;;;
735.0;35.6883764482491;735.0;38.208865369109;735.0;22.5776216086528;735.0;13.9332721632532;735.0;6.36461653036011;735.0;-1.19971056709663;;;;;;
740.0;33.8343215090171;740.0;35.7776593912433;740.0;22.4604157687712;740.0;13.3892885928294;740.0;5.99749134231288;740.0;-2.68175394427189;;;;;;
745.0;30.7540491936655;745.0;34.5249308546409;745.0;22.8004573696111;745.0;17.9061280521979;745.0;5.24266614726141;745.0;-2.44102484312503;;;;;;
750.0;29.5901780972057;750.0;35.9882695996405;750.0;20.9941323235177;750.0;18.3287159662933;750.0;4.87210723117361;750.0;-1.38111472941904;;;;;;
755.0;29.1251116933813;755.0;34.7244702504279;755.0;20.3614904593911;755.0;16.8037129150056;755.0;3.93084515427067;755.0;-3.14945138451441;;;;;;
760.0;28.0541707967718;760.0;36.1973550333347;760.0;20.9312090838224;760.0;15.7784541956769;760.0;3.85454410693745;760.0;-2.99270185703932;;;;;;
765.0;26.0440620296993;765.0;33.4820203677558;765.0;19.41352676114;765.0;14.9079486560119;765.0;2.32667975578693;765.0;-2.86307803623605;;;;;;
770.0;24.0112087937901;770.0;33.5553321018244;770.0;18.1511763685939;770.0;13.8065098268315;770.0;2.24376668673038;770.0;-4.04691688131917;;;;;;
775.0;23.9450687383629;775.0;31.6011017067074;775.0;16.2630958566631;775.0;12.9745456433256;775.0;2.14450326964616;775.0;-4.14950911158241;;;;;;
780.0;23.6290748364405;780.0;28.8666519443158;780.0;15.3660845496012;780.0;10.9532384868272;780.0;2.53709882914936;780.0;-2.31242948178935;;;;;;
785.0;22.5673248196071;785.0;30.4818577892474;785.0;15.4084255412306;785.0;10.4003126836425;785.0;2.57808460492137;785.0;0.282299654643525;;;;;;
790.0;22.9020833119917;790.0;28.0358808519505;790.0;14.6686482127024;790.0;9.83436815453293;790.0;2.36037175132607;;;;;;;;
