Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:49:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;12;106.2;3.2;;;3.0;2.7;10.5;;207;;61.4;0.00884;Retracting;;C_LNE_IN8-2_1c;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
984;1.9;0.00;0.0
986;1.7;0.00;0.0
988;0.8;0.00;0.0
990;0.6;0.00;0.0
992;0.3;0.00;0.0
994;0.3;0.00;0.0
996;0.5;0.00;0.1
998;0.2;0.00;0.0
1000;0.1;0.00;0.0
1002;0.5;0.00;0.0
1004;1.4;0.00;0.0
1006;1.6;0.00;0.0
1008;2.9;0.00;0.0
1010;2.5;0.00;0.0
1012;2.5;0.00;0.0
1014;2.1;0.00;0.0
1016;1.7;0.00;0.0
1018;1.3;0.00;0.0
1020;2.1;0.00;0.0
1022;1.2;0.00;0.0
1024;1.9;0.00;0.0
1026;1.5;0.00;0.0
1028;0.5;0.00;0.0
1030;1.4;0.00;0.0
1032;2.3;0.00;0.0
1034;2.5;0.00;0.0
1036;3.0;0.00;0.0
1038;2.3;0.00;0.0
1040;2.1;0.00;0.0
1042;2.4;0.00;0.0
1044;2.3;0.00;0.0
1046;1.7;0.00;0.0
1048;1.0;0.00;0.0
1050;0.0;0.00;0.0
1052;0.0;0.00;0.0
1054;0.0;0.00;0.0
1056;0.0;0.00;0.0
1058;0.0;0.00;0.0
1060;0.0;0.00;0.0
1062;0.0;0.00;0.0
1064;0.0;0.00;0.0
1066;0.7;0.00;0.0
1068;0.7;0.00;0.0
1070;1.4;0.00;0.0
1072;1.8;0.00;0.0
1074;1.7;0.00;0.0
1076;0.7;0.00;0.0
1078;0.9;0.00;0.0
1080;0.4;0.00;0.0
1082;0.3;0.00;0.0
1084;0.7;0.00;0.0
1086;0.2;0.00;0.0
1088;0.2;0.00;0.0
1090;0.4;0.00;0.0
1092;0.7;0.00;0.0
1094;1.4;0.00;0.0
1096;1.4;0.00;0.0
1098;1.3;0.00;0.0
1100;1.7;0.00;0.0
1102;2.6;0.00;0.0
1104;2.2;0.00;0.0
1106;2.9;0.00;0.0
1108;2.5;0.00;0.0
1110;2.9;0.00;0.0
1112;3.2;0.00;0.0
1114;3.0;0.00;0.0
1116;2.0;0.00;0.0
1118;2.7;0.00;0.0
1120;1.7;0.00;0.0
1122;1.0;0.00;0.0
1124;0.9;0.00;0.0
1126;0.4;0.00;0.0
1128;1.1;0.00;0.0
1130;2.2;0.00;0.0
1132;1.8;0.00;0.0
1134;2.1;0.00;0.0
1136;3.5;0.00;0.0
1138;4.3;0.00;0.0
1140;4.7;0.00;0.0
1142;4.9;0.00;0.0
1144;4.3;0.00;0.0
1146;4.7;0.00;0.0
1148;5.0;0.00;0.0
1150;4.7;0.00;0.0
1152;3.9;0.00;0.0
1154;4.0;0.00;0.0
1156;2.9;0.00;0.1
1158;3.0;0.00;0.0
1160;2.4;0.00;0.0
1162;2.1;0.00;0.1
1164;2.5;0.00;0.0
1166;2.0;0.00;0.0
1168;0.8;0.00;0.0
1170;0.3;0.00;0.0
1172;0.0;0.00;0.0
1174;0.0;0.00;0.0
1176;0.2;0.00;0.0
1178;0.2;0.00;0.0
1180;0.6;0.00;0.0
1182;2.0;0.00;0.0
1184;1.7;0.00;0.0
1186;0.0;0.00;0.0
1188;0.0;0.00;0.0
1190;0.0;0.00;0.0
1192;0.0;0.00;0.0
1194;0.0;0.00;0.0
1196;0.0;0.00;0.0
1198;0.0;0.00;0.0
1200;0.0;0.00;0.0
